ASVs	bremen	brake	bremerhaven	helgolandT	helgolandS
ASV_3759	0.00	0.17	0.00	0.00	0.00
ASV_3765	0.00	0.00	0.33	0.00	0.00
ASV_3773	0.00	0.17	0.00	0.00	0.00
ASV_3784	0.00	0.00	3.67	0.00	0.00
ASV_3791	0.17	0.67	0.00	0.00	0.00
ASV_3795	0.00	0.17	0.00	0.00	0.00
ASV_3810	13.67	4.00	0.00	0.00	0.00
ASV_3819	0.00	0.00	0.00	0.17	0.00
ASV_3841	0.00	0.00	0.00	1.50	0.00
ASV_3849	0.00	0.00	0.33	0.00	0.00
ASV_3855	0.00	0.00	0.17	0.00	0.00
ASV_3858	0.00	0.00	3.33	4.17	0.00
ASV_3861	0.17	0.00	0.17	0.00	0.00
ASV_3874	9.67	9.00	17.33	0.00	0.00
ASV_3875	0.33	0.00	0.00	0.00	0.00
ASV_3887	0.33	0.33	0.00	0.00	0.00
ASV_3888	0.00	0.00	0.00	2.00	0.00
ASV_3910	0.00	0.00	0.00	5.83	0.00
ASV_3913	0.50	0.33	0.67	0.00	0.00
ASV_3926	0.00	0.00	0.33	0.00	0.00
ASV_3931	0.17	0.50	0.00	0.00	0.00
ASV_3938	0.00	0.17	0.00	0.00	0.00
ASV_3944	0.00	0.00	0.00	0.00	0.00
ASV_3948	0.33	0.33	0.00	0.00	0.00
ASV_3949	0.00	0.00	0.00	0.67	0.00
ASV_3962	0.00	0.00	0.00	0.50	0.00
ASV_3969	0.00	0.00	0.00	0.17	0.00
ASV_3970	1.83	0.00	0.00	0.00	0.00
ASV_3972	0.00	0.17	0.00	0.00	0.00
